source,target,weight,label
n799,n838,0.94,knows
n168,n111,0.79,knows
n76,n1,0.14,follows
n67,n96,0.35,follows
n773,n695,0.02,knows
n7,n0,0.71,knows
n832,n630,0.28,knows
n698,n695,0.08,knows
n549,n517,0.44,knows
n357,n320,0.75,knows
n924,n866,0.27,follows
n88,n99,0.88,follows
n619,n676,0.59,follows
n57,n0,0.05,follows
n673,n663,0.01,knows
n253,n277,0.94,knows
n859,n804,0.13,knows
n292,n443,0.01,follows
n875,n825,0.13,knows
n188,n90,0.46,follows
n888,n907,0.13,knows
n974,n953,0.91,follows
n849,n794,0.98,follows
n496,n474,0.64,knows
n103,n93,0.09,follows
n484,n552,0.85,knows
n126,n76,0.81,follows
n879,n796,0.52,knows
n24,n49,0.12,follows
n475,n534,0.81,follows
n636,n549,0.27,follows
n641,n694,0.24,follows
n704,n695,0.1,follows
n598,n629,0.26,follows
n475,n474,0.91,follows
n695,n696,0.04,knows
n894,n940,0.58,knows
n549,n529,0.92,knows
n420,n473,0.86,follows
n852,n599,0.75,follows
n593,n664,0.95,follows
n13,n92,0.42,knows
n384,n382,0.11,knows
n794,n854,0.48,follows
n139,n37,0.33,follows
n950,n965,0.54,knows
n705,n894,0.04,follows
n390,n358,0.79,knows
n815,n889,0.31,knows
n494,n474,0.24,follows
n694,n661,0.01,knows
n734,n791,0.92,follows
n20,n0,0.25,knows
n34,n40,0.48,knows
n925,n1038,0.44,knows
n638,n694,0.54,knows
n868,n915,0.77,follows
n394,n317,0.63,follows
n848,n843,0.03,knows
n7,n0,0.94,knows
n496,n474,0.39,knows
n117,n324,0.73,knows
n316,n295,0.77,knows
n236,n244,0.9,knows
n140,n47,0.61,follows
n399,n414,0.06,knows
n906,n904,0.41,knows
n945,n941,0.28,knows
n582,n521,0.12,knows
n782,n752,1,knows
n183,n234,0.58,follows
n617,n575,0.19,knows
n841,n829,0.85,knows
n863,n931,0.45,knows
n320,n364,0.18,follows
n472,n473,0.76,knows
n274,n313,0.98,follows
n350,n366,0.26,follows
n66,n132,0.01,follows
n671,n587,0.55,follows
n405,n359,0.51,knows
n783,n864,0.5,follows
n747,n695,0.64,follows
n188,n156,0.34,follows
n256,n235,0.91,follows
n430,n446,0.66,follows
n185,n194,0.39,knows
n499,n477,0.34,follows
n532,n627,0.36,follows
n257,n235,0.12,follows
n404,n426,0.64,follows
n315,n111,0.56,knows
n690,n682,0.29,follows
n37,n53,0,knows
n281,n241,0.65,knows
n506,n581,0.71,follows
n486,n697,0.35,follows
n678,n781,0.41,follows
n530,n515,0.25,knows
n389,n418,0.9,knows
n600,n292,0.87,knows
n5,n0,0.92,follows
n713,n725,0.18,follows
n39,n44,0.22,knows
n506,n552,0.21,follows
n705,n695,0.37,follows
n566,n618,0.6,knows
n652,n694,0.22,knows
n94,n110,0.28,follows
n571,n535,0.84,knows
n810,n875,0.33,knows
n623,n646,0.4,knows
n274,n264,0.84,knows
n290,n306,0.06,follows
n889,n940,0.02,follows
n476,n474,0.51,knows
n150,n160,0.52,knows
n31,n42,0.39,knows
n684,n574,0.49,knows
n60,n497,0.06,follows
n181,n124,0.69,follows
n232,n234,0.31,knows
n762,n876,0.74,knows
n672,n685,0.52,follows
n111,n213,0.01,knows
n788,n840,0.03,knows
n255,n259,0.96,follows
n429,n473,0.38,knows
n964,n963,0.57,follows
n752,n695,0.68,follows
n90,n94,0.13,follows
n301,n575,0.11,knows
n54,n17,0.03,knows
n978,n1026,0.63,knows
n926,n900,0.75,follows
n236,n235,0.04,knows
n854,n940,0.1,follows
n426,n346,0.47,knows
n11,n0,0.38,knows
n76,n0,0.59,follows
n392,n384,0.05,follows
n589,n846,0.71,knows
n530,n515,0.13,knows
n81,n52,0.9,knows
n374,n262,0.37,knows
n252,n265,0.05,knows
n406,n367,0.12,follows
n889,n845,0.33,follows
n673,n571,0.45,knows
n125,n135,0.02,knows
n537,n504,0.33,follows
n28,n127,0,follows
n849,n882,0.75,follows
n110,n107,0.47,knows
n784,n753,0.35,knows
n99,n12,0.53,follows
n620,n605,0.42,follows
n86,n37,0.54,follows
n780,n759,0.16,follows
n830,n995,0.48,follows
n698,n722,0.31,knows
n22,n0,0.16,follows
n568,n586,0.68,knows
n10,n34,0.82,follows
n136,n108,0.99,knows
n780,n816,0.05,follows
n597,n538,0.92,knows
n427,n291,0.78,knows
n148,n48,0.87,knows
n38,n22,0.66,knows
n842,n906,0.7,follows
n926,n940,0.84,knows
n797,n836,0.4,knows
n381,n724,0.36,follows
n830,n777,0.49,knows
n564,n438,0.68,knows
n32,n141,0.58,follows
n718,n741,0.06,follows
n445,n406,0.43,follows
n721,n66,0.23,follows
n768,n695,0.82,knows
n324,n473,0.68,knows
n550,n604,0.2,knows
n768,n895,0.72,follows
n419,n447,0.33,follows
n591,n503,0.09,knows
n945,n946,0.69,knows
n587,n574,0.22,knows
n146,n171,0.04,knows
n505,n493,0.12,follows
n725,n776,0.37,follows
n30,n752,0.05,knows
n920,n860,0.91,knows
n272,n273,0.5,knows
n616,n693,0.76,knows
n591,n546,0.6,knows
n920,n940,0.81,follows
n393,n323,0.98,follows
n230,n159,0.23,follows
n360,n473,0.22,knows
n857,n940,0.77,follows
n252,n253,0.93,follows
n722,n695,0.85,knows
n10,n93,0.62,follows
n551,n510,0.56,follows
n911,n940,0.64,knows
n490,n474,0.28,knows
n292,n274,0.18,follows
n233,n148,0.84,follows
n50,n0,0.18,knows
n888,n934,0.59,follows
n813,n869,0.63,knows
n505,n645,0.86,knows
n1,n3,0.01,follows
n620,n509,0.36,follows
n596,n563,0.65,follows
n228,n183,0.49,follows
n799,n748,0.2,follows
n100,n234,0.55,knows
n952,n965,0.72,knows
n480,n528,0.77,follows
n408,n473,0.7,knows
n608,n471,0.1,knows
n150,n121,0.5,follows
n91,n0,0.37,follows
n423,n445,0.41,follows
n987,n954,0.34,knows
n509,n333,0.91,follows
n48,n0,0.19,knows
n675,n636,0.9,knows
n469,n471,0.76,knows
n917,n940,0.38,follows
n515,n474,0.05,follows
n654,n694,0,follows
n384,n472,0.52,follows
n397,n357,0.64,follows
n613,n694,0.52,follows
n440,n349,0.14,knows
n601,n555,0.5,knows
n696,n768,0.86,follows
n594,n554,0.31,follows
n685,n578,0.8,follows
n320,n432,0.83,knows
n393,n377,0.4,knows
n668,n561,0.4,follows
n231,n950,0.47,knows
n785,n794,0.32,follows
n919,n834,0.79,knows
n186,n234,0.01,knows
n666,n654,0.68,knows
n847,n789,0.95,knows
n349,n418,0.89,follows
n268,n294,0.11,knows
n108,n72,0.43,follows
n742,n809,0.58,follows
n917,n874,0.13,knows
n768,n767,0.78,knows
n330,n235,0.75,knows
n485,n520,0.86,knows
n299,n266,0.93,follows
n6,n0,0.56,knows
n57,n180,0.24,knows
n192,n200,0.4,knows
n416,n307,0.81,follows
n623,n578,0.59,follows
n300,n285,0.38,follows
n641,n886,0.83,knows
n288,n383,0.04,follows
n371,n386,0.76,follows
n514,n634,0.83,follows
n513,n568,0.29,knows
n294,n285,0.81,knows
n299,n318,0.15,knows
n767,n695,0.65,knows
n292,n1032,0.41,knows
n633,n44,0.79,knows
n98,n165,0.05,knows
n63,n17,0.34,follows
n230,n234,0.42,knows
n988,n986,0.41,follows
n262,n305,0.3,follows
n55,n39,0.77,knows
n797,n799,0.49,knows
n235,n236,0.63,knows
n747,n822,0.4,knows
n757,n695,0.63,knows
n837,n923,0.71,follows
n385,n383,0.32,knows
n183,n238,0.23,follows
n974,n966,0.56,follows
n808,n940,0.11,follows
n456,n375,0.95,follows
n825,n725,0.86,follows
n778,n750,0.28,follows
n517,n563,0.22,knows
n200,n154,0.76,knows
n647,n308,0.1,knows
n138,n60,0.09,follows
n113,n115,0.39,follows
n822,n940,0.35,knows
n576,n584,0.51,follows
n38,n86,0.9,knows
n609,n625,0.17,knows
n877,n781,0.62,follows
n842,n695,0.37,follows
n830,n903,0.09,follows
n186,n162,0.67,knows
n457,n473,0.37,knows
n84,n139,0.56,follows
n823,n744,0.87,knows
n677,n694,0.74,knows
n699,n732,0.53,follows
n165,n171,0.99,knows
n475,n557,0.68,knows
n287,n244,0.54,follows
n806,n695,0.46,knows
n244,n235,0.51,knows
n535,n588,0.71,knows
n922,n940,0.69,knows
n153,n70,0.23,follows
n65,n137,0.72,knows
n854,n834,0.89,follows
n641,n650,0.48,knows
n586,n646,0.19,knows
n869,n897,0.92,follows
n617,n547,0.5,knows
n205,n169,0.17,knows
n466,n423,0.85,knows
n502,n474,0.17,knows
n251,n248,0.11,knows
n45,n94,0.74,follows
n482,n508,0.76,knows
n526,n557,0.83,knows
n326,n235,0.1,follows
n710,n714,0.75,knows
n672,n791,0.56,knows
n433,n473,0.97,follows
n995,n997,0.59,knows
n935,n920,0.55,knows
n183,n174,0.38,follows
n307,n366,0.4,knows
n519,n474,0.72,follows
n885,n985,0.93,knows
n125,n65,0.67,knows
n521,n474,0.76,knows
n460,n473,0.34,follows
n560,n489,0.42,knows
n416,n378,0.79,follows
n751,n695,0.67,knows
n750,n695,0.11,follows
n970,n1010,0.59,follows
n752,n813,0.48,follows
n1,n35,0.99,follows
n337,n423,0.17,follows
n968,n941,0.12,follows
n476,n474,0.84,follows
n620,n576,0.44,knows
n697,n695,0.22,knows
n663,n991,0.2,knows
n934,n940,0.29,follows
n584,n539,0.81,knows
n678,n694,0.14,knows
n753,n758,0.6,knows
n654,n692,0.96,knows
n898,n757,0.11,follows
n933,n940,0.17,follows
n448,n473,0.13,knows
n600,n541,0.67,follows
n267,n235,0.01,follows
n468,n428,0.26,follows
n118,n175,0.49,follows
n433,n467,0.55,follows
n0,n1,0.41,follows
n160,n228,0.78,follows
n442,n415,0.92,knows
n786,n933,0.71,knows
n429,n411,0.18,knows
n296,n322,0.98,knows
n323,n968,0.85,follows
n610,n694,0.36,knows
n247,n235,0.92,follows
n588,n616,0.18,follows
n638,n690,0.09,knows
n355,n397,0.69,follows
n200,n234,0.46,follows
n41,n112,0.69,knows
n470,n473,0.6,follows
n968,n967,0.12,knows
n518,n521,0.17,knows
n882,n940,0.69,knows
n988,n977,0.08,follows
n36,n41,0.92,knows
n71,n1005,0.41,follows
n576,n164,0.15,follows
n676,n588,0.95,knows
n396,n464,0.29,follows
n326,n259,0.43,knows
n264,n235,0.18,knows
n817,n884,0.79,knows
n638,n862,0.81,follows
n94,n82,0.94,knows
n380,n270,0.47,knows
n492,n1018,0.12,knows
n229,n197,0.87,knows
n791,n737,0.65,knows
n46,n35,0.72,follows
n373,n239,0.58,knows
n71,n0,0.97,follows
n811,n883,0.86,follows
n441,n473,0.29,follows
n614,n518,0.34,follows
n989,n964,0.59,follows
n331,n396,0.4,knows
n469,n429,0.49,knows
n404,n466,0.01,follows
n228,n178,0.56,knows
n591,n561,0.75,knows
n25,n9,0.51,knows
n601,n560,0.17,follows
n76,n50,0.38,follows
n951,n8,0.5,knows
n68,n173,0.09,knows
n443,n409,0.65,follows
n768,n849,0.37,knows
n88,n164,0.19,follows
